"SERVICES","EFFECTIF","CROISSANCE","EFFECTIF CIBLE","% POSTES / EFF. CIBLE","NB POSTES CIBLE	","NB POSTES PROG"
&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Ing̩nierie Poject,"4","1","5","100 %","5 p.","5 p."
&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Autres,"2",,"2","100 %","2 p.","2 p."
&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Dir. Combustible,,"3","3","100 %","3 p.","3 p."
&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Ventes ALFI IM,"22","-1","21","100 %","21 p.","21 p."
&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Cluster Shared team,"7","1","8","100 %","8 p.","8 p."
&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Si̬ge,"1","1","2","100 %","2 p.","2 p."
&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; DEAR,"78","13","91","100 %","91 p.","91 p."
&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; DEC,"4",,"4","100 %","4 p.","4 p."
&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Dir Produits,"2",,"2","100 %","2 p.","2 p."
&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Azote services,"2",,"2","100 %","2 p.","2 p."
&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Electron Libre,"6","1","7","100 %","7 p.","7 p."
